RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
146,0,22405,Justin Rose,-0.254,-12.444,49
147,0,36326,David Lipsky,-0.258,-15.453,60
147,0,47993,Denny McCarthy,-0.258,-20.906,81
149,0,23108,Matt Kuchar,-0.263,-14.993,57
150,0,59160,John Pak,-0.284,-16.167,57
150,0,54304,Karl Vilips,-0.284,-15.073,53
152,0,40058,Zac Blair,-0.286,-12.312,43
152,0,35461,Beau Hossler,-0.286,-22.849,80
154,0,57900,Chandler Phillips,-0.295,-19.765,67
155,0,51690,Taylor Dickson,-0.296,-15.114,51
156,0,30163,Henrik Norlander,-0.297,-20.503,69
157,0,52666,Sami Valimaki,-0.301,-20.738,69
158,0,27649,Brandt Snedeker,-0.306,-17.137,56
159,0,45157,Cam Davis,-0.347,-20.794,60
160,0,24024,Zach Johnson,-0.369,-14.406,39
161,0,36799,Stephan Jaeger,-0.371,-29.280,79
162,0,45522,Christiaan Bezuidenhout,-0.380,-29.280,77
163,0,32070,Rafael Campos,-0.386,-25.845,67
164,0,32757,Patton Kizzire,-0.443,-25.272,57
165,0,47995,Davis Riley,-0.455,-30.030,66
166,0,52370,Mason Andersen,-0.463,-20.854,45
167,0,47591,Eric Cole,-0.476,-44.244,93
168,0,36824,Paul Peterson,-0.568,-27.843,49
169,0,52144,Braden Thornberry,-0.595,-27.381,46
170,0,35532,Tom Hoge,-0.610,-48.223,79
171,0,55789,Taylor Montgomery,-0.637,-33.101,52
172,0,39859,Cristobal Del Solar,-0.660,-34.979,53
173,0,34256,Andrew Putnam,-0.690,-42.793,62
174,0,34466,Peter Malnati,-0.714,-42.853,60
175,0,55623,Kaito Onishi,-0.723,-28.930,40
176,0,27770,Camilo Villegas,-0.740,-41.464,56
177,0,33199,Matteo Manassero,-0.982,-38.290,39
178,0,46443,Brian Campbell,-1.009,-55.504,55
179,0,49590,Frankie Capan III,-1.193,-68.024,57
180,0,59866,Nick Dunlap,-1.471,-97.104,66
