RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
76,0,40115,Adam Svensson,8
76,0,33448,Justin Thomas,8
76,0,54607,Danny Walker,8
100,0,33948,Byeong Hun An,7
100,0,66743,Luke Clanton,7
100,0,51766,Wyndham Clark,7
100,0,59866,Nick Dunlap,7
100,0,33399,Adam Hadwin,7
100,0,52453,Nicolai Højgaard,7
100,0,39977,Max Homa,7
100,0,35461,Beau Hossler,7
100,0,35506,Mackenzie Hughes,7
100,0,33204,Shane Lowry,7
100,0,55789,Taylor Montgomery,7
100,0,49771,J.T. Poston,7
100,0,47983,Chad Ramey,7
100,0,37275,Sam Ryder,7
100,0,47347,Adam Schenk,7
100,0,31323,Gary Woodland,7
116,0,34255,Joseph Bramlett,6
116,0,55708,Hayden Buckley,6
116,0,32070,Rafael Campos,6
116,0,34021,Bud Cauley,6
116,0,58933,Will Chandler,6
116,0,59836,Pierceson Coody,6
116,0,51690,Taylor Dickson,6
116,0,34099,Harris English,6
116,0,54576,Patrick Fishburn,6
116,0,30911,Tommy Fleetwood,6
116,0,29936,Ryan Fox,6
116,0,29535,Brice Garnett,6
116,0,55165,Noah Goodwin,6
116,0,31646,Emiliano Grillo,6
116,0,27644,Brian Harman,6
116,0,36801,Mark Hubbard,6
116,0,47917,Takumi Kanaya,6
116,0,36326,David Lipsky,6
116,0,34466,Peter Malnati,6
116,0,59160,John Pak,6
116,0,50582,Jeremy Paul,6
116,0,36824,Paul Peterson,6
116,0,57900,Chandler Phillips,6
116,0,64693,Matthew Riedel,6
116,0,25493,Nick Taylor,6
116,0,51634,Sahith Theegala,6
116,0,58619,Kevin Velo,6
116,0,27770,Camilo Villegas,6
144,0,40026,Daniel Berger,5
144,0,39859,Cristobal Del Solar,5
144,0,25900,Lucas Glover,5
144,0,35310,Lanto Griffin,5
144,0,34098,Russell Henley,5
144,0,24024,Zach Johnson,5
144,0,32757,Patton Kizzire,5
144,0,45523,Thriston Lawrence,5
144,0,37378,Min Woo Lee,5
144,0,59143,Mac Meissner,5
144,0,63121,William Mouw,5
144,0,55623,Kaito Onishi,5
144,0,63343,Aldrich Potgieter,5
144,0,34256,Andrew Putnam,5
144,0,22405,Justin Rose,5
144,0,24502,Adam Scott,5
144,0,27649,Brandt Snedeker,5
144,0,39324,J.J. Spaun,5
144,0,52144,Braden Thornberry,5
144,0,27064,Jhonattan Vegas,5
164,0,52370,Mason Andersen,4
164,0,40058,Zac Blair,4
164,0,60004,Jacob Bridgeman,4
164,0,32102,Rickie Fowler,4
164,0,47988,Nick Hardy,4
164,0,28775,Nate Lashley,4
164,0,33199,Matteo Manassero,4
164,0,59141,Matt McCarty,4
164,0,50474,Tim Widing,4
164,0,57366,Cameron Young,4
174,0,46443,Brian Campbell,3
174,0,49590,Frankie Capan III,3
174,0,54421,Garrick Higgo,3
174,0,52215,Robert MacIntyre,3
174,0,23320,Ryan Palmer,3
174,0,52513,Carson Young,3
180,0,23108,Matt Kuchar,1
